summonerName,overallScore,totalGamesPlayed
The Nine Tail,42.51798543,101
jhs7d1z212xzzqw,60.58209357,43
GRANDPA MUSTARD,49.21101128,8
c2 meteos,45.03342131,599
 any0ne,67.39174761,40
Veni vidi vicì,48.80348772,198
Wet Weasel,37.98984938,56
I M OWNER,50.20886458,34
defx1,53.31682438,30
wcnbbdsb,48.03439762,18
Friendly,42.41244625,15
Glaecr,42.98985001,55
onê day,56.97964807,123
TURBOGRIEFER99,52.10187408,47
KingRavenZ,65.6535297,31
Bighorn Bison,57.22000755,30
thigh pics fast,70.48085077,95
Beard and Helmet,36.89329498,103
wtjd,46.03994623,38
Nero x Asta,66.72668611,29
saving na,66.60052332,460
Phendra,58.64791999,9
hi im enuo,56.44848113,24
Chansool,25.90157326,14
nqjhtmm,40.33085206,35
Markachino,49.40400614,18
Berik,59.779102,133
LeastGayMan,71.21446714,10
CCG Minion,89.77131008,1
Pølar,111.2598475,1
Mìlls,95.28587974,1
CCG Addi,87.30021819,2
Ass For Lunch,61.57440607,3
Jayton,61.4943851,109
King of the Fill,32.29533523,4
acc jg,30.32769876,2
caspr,51.98039133,1
Phantó,28.5486596,1
ArcanePyromaniac,63.52840958,1
DC hc9999 8711,64.49522986,7
ˇXu Xu baobaoˇ,80.09159924,16
Love Raining,63.91869326,2
1 inch monster,111.9971252,2
The Doggo,61.0385649,43
YIWU USB,59.72080682,200
Lafinte,49.24225537,31
NoScope360Dorito,46.13879022,45
ps 01,49.16965612,170
Coco9,67.89470486,82
The Handmaiden,51.42253587,15
Fortilux,56.16083491,88
Nubsee,56.14618884,50
Rime,55.03777116,53
Descraton,55.03513804,566
BL0WJ0BPRINCESS,52.55220021,4
King Koney,60.80589537,39
Yubbie,50.66497926,54
EG Matt,42.871241,90
HemorRage,41.08076185,64
JonBiven,74.53303399,75
Genobrine,44.52806711,33
dogmaˉ,42.64207038,57
Pandawaa,68.53512215,67
Scuz Rat,48.12074822,55
i am a top laner,97.02115358,25
BLACK99,69.40050378,35
clonesheep,76.26813878,13
me monkey player,52.54451346,7
Burn My Dread,46.01324853,36
boxian,48.74039551,38
ILoveUlHateU,83.2870503,42
Desired Luck,41.71770508,93
 N L,60.25216609,45
Fotón,45.16519473,44
Lucky Pham,43.34762282,60
Ixn sb,39.56967521,14
Cowfan1,41.78379139,40
Sinsonte,45.51126415,61
ROG iRoseOnly,50.97026807,50
Sayhoon,63.73407671,538
Cursed Object,45.0014254,117
PRACT1CE,64.0802878,43
GGaguacate,45.04673335,17
TheWaIrusKing,53.09415891,49
FirstTimeCaitlyn,63.56522302,44
my Jg is Dumb,39.84898897,22
Notai Hero,42.35598538,86
keurig cup,44.94715138,12
RUN SAVE ME DNA,57.53492521,8
Trinn,38.07615148,20
lllIlIllIIIl,8.425160357,1
Secre,37.89377767,9
8ˆ11NeverForget,61.89291068,3
Inventory Tags,49.68229019,3
TwTv lolhans,64.3185417,8
FLY Picc,42.37079877,60
opao is baby,35.86655651,26
LFFN,43.56293003,29
you are in the X,44.25191832,82
Shøryu,62.63451045,194
sacagawea,53.2036422,7
XXXCLAMTACION,45.41582782,96
Lost Boy,54.86278086,40
kelly2,76.56926529,15
AquaBlue,51.71147661,48
ˆTwice Sanaˆ,51.51647566,39
Rope Is Required,58.4338382,56
Erick Dota,46.11062801,451
Perry 1v9,43.18805466,41
Fake Happiness,49.45273502,18
Bíshop,68.48720306,39
Xiao Suan Nai A,63.51126414,16
Love Miya,35.62284693,20
Extempted,58.97644102,4
Trivia Bot,39.70037027,15
ITS A DIFF,45.37189018,8
ChenChen ATM,44.82158466,12
Love Ragdoll,63.48159293,2
TLB,43.58814847,16
Redsaturn,56.83069867,20
Rìvèn,47.89644489,18
l cant win,29.23754707,5
WX lol766788,52.88132084,94
Fbgg Hanjaro,43.11138024,115
ELO TERRORÎST,55.86336799,11
TWITCHTV moosyj,68.29755916,39
azer07,66.34827245,140
platonic simp,53.16971742,122
TwTv lol Wero,62.84990819,79
Gli,47.81579136,79
DUHBESTKILLER,41.10449856,88
twitch sean god,58.52423521,23
qazwsxedcrfvt,61.97979187,5
Youuuuuuuuuuuuu,91.97911397,20
optimal click,53.1191809,10
limit tester 643,49.62802761,19
BlueTrxll,60.78211726,33
Twtv Quaslol,68.64335416,92
FIâsh,53.24321019,78
SalttyFish,68.49986384,24
wkfwkf,55.26457336,9
LJX1,87.77683015,16
Godlike Azir,77.22418135,7
FluffySoxOfDoom,40.24338924,7
LVQQ,44.10311836,5
Søxo,57.7983273,86
rajjj,57.82187735,12
Chimp,62.49911234,155
God of Spatula,36.20495889,19
Pransie,55.47590123,26
LifejustGondry,60.76605841,31
hashinshin,57.3783929,37
to see ur smile,56.83338126,3
Arrogànt,61.54604435,34
OutRushed,62.23969227,26
EpiphanyOfLife,47.44688296,19
SQuape,64.43197463,52
Sorasliver,41.00345806,22
Teał,53.07286449,41
Cailleachoidhche,48.04279655,15
King Inoriboob,62.96424549,12
MrLemón,41.97172358,79
Lost in Wins,50.11600528,53
Skullchaos,54.03544622,18
valie,64.3024009,22
Juke Jouster,52.70609391,55
Japanese Thresh,39.28806647,93
Lão Xu,50.15150748,13
Swiftzzz,45.33003225,12
LastDanceDF,70.78691325,108
5 in G FlatMajor,55.579122,121
aberam,54.65910171,19
Fall Guy 3618,48.35850361,25
Ramön ,40.61934007,41
TobiasbX,59.35508856,52
Nunul,36.58509052,9
Neøø,77.18718236,401
TwTv Teamluketv,78.36521319,39
DWG Daguri,50.14093012,37
Dragonjindi,45.81925552,102
Zoomr,26.02453394,4
Guo Dòng,46.80239034,99
xContr0ller,43.69960055,53
Circus,43.71442985,112
veerchand101,73.40170253,45
ˉanivia,50.27915655,85
NA BRAIN POWER,57.39082997,47
KingClueless,53.82097339,106
BrandonASF,60.47900836,109
Lennon Oh yeah,62.87296472,58
LetMeCryA Riven,60.52600262,50
Poopey,52.70366919,77
JetStorms,49.44070647,64
Noctildo,53.74525088,38
ccd0g,53.51437961,39
Shadan,46.6617153,27
Timescrollnom,55.23714054,6
ttvTurboChemtank,57.65968765,41
mugenIoI,51.22715892,66
rOgArmstrong,38.19652565,15
kindredz,58.24605078,19
Våpør,33.55133993,6
IlIlIIIIllIlll,67.64564578,13
Harambe,65.40802907,154
The best Steve,58.76967086,72
Nariyoshi Miyagi,54.33562364,8
Anchor,42.34544648,23
Rangerzzx,73.04588672,11
poopmonster928,39.01505968,42
Saskio,64.13428059,156
Sórrymaker,56.00384643,18
Jccc,47.19918325,113
Matty Wade,42.13011599,15
Eem,67.81904556,48
Sadlyy,43.52334121,45
Eshyn,66.20974704,85
IgNar9,46.39988926,385
Yoshi,56.47640387,514
GACHA HELL,44.93515506,7
Modifyed9,56.40072306,80
ill gotten gains,52.16208628,39
Jurassiq,67.58833793,93
snailspace,42.9032203,118
Súnlight,51.75255637,34
metalhydra273,37.70118937,49
acryllix,75.61476095,14
themealio1,54.23159947,39
Gangplank Main,69.23576516,59
gTsPpNovia,54.88081837,15
StarRingChild,66.85324176,35
Raynarz,41.3398083,115
R7ULER,58.44738793,43
Defstruction,57.13190113,99
slicendiceboi363,65.60790663,37
Its a bag,99.86404863,6
i dont talk to u,43.09978174,21
Ql Tian Da Sheng,61.64659487,159
nadianadia,65.36677926,108
Vudu Child,52.72838044,79
DCSNT,50.37257904,297
LittleCloud Uni,39.15874527,1
Catˇ,47.41107117,5
KillerSweetBae,45.41759901,32
MYholiday,15.54733486,2
RyanthekidRS,54.34104964,39
Sad Pichu,94.13432162,7
fady,48.10657145,85
GuangGuang Top,59.55190141,73
Le Hanni,38.09424617,9
Le DRiOP,46.52973822,3
Le Sibosa,38.15123824,12
Chovy Dopa Faker,56.05626203,31
Le Lyn,48.22676665,8
Miracle,69.55283307,24
Susuuu,59.08460465,2
0O1,49.72726103,14
Ląke,61.10180437,26
S2 Missbear,43.52427776,7
Hecarry,25.11137544,5
Muting You,17.04776338,1
think too much,46.36443038,1
We1rd Top,49.53706799,15
Yunbee,65.00684501,148
Zexing,43.89768946,8
YellowBumbleBee,32.23907419,29
ForgottenProject,100.5117651,15
viora,58.41136329,30
PisslowWarrior69,56.89999262,45
Samskeyti Tree,46.76727801,76
L9KILLINGMACHINE,56.4898606,56
Kerbieee,57.96509322,17
jonat4n leandoer,45.21023351,14
yue yue ovo,57.50027147,50
Oronuke,54.63834319,57
Crucile 1,67.71579014,58
Infectrix,42.21560353,83
Humble Diligent,47.05698778,65
ObIiterated,82.08121358,6
Sigo Aqui,71.2259812,10
VÂNQUISH,52.30923671,17
Main Sup,46.76621458,173
Forever GodT,54.16981145,54
Facethewindhasei,36.52641382,8
Big j8,56.55205929,21
Steefo,46.03027768,76
sugar lilies,28.45931907,15
Suspenser,60.09154596,40
Teesum,43.64639154,135
Anivvia,46.80160343,53
GenrZod,40.47933384,5
scared to live,52.92009626,22
I LOVE HENTAl,34.49494226,29
Todamax,82.77276056,7
Galaxy Smash,43.15455975,28
TSM Winston,46.09808353,140
xbfzcgbbmls,65.11145514,18
Pomerzz Poggers,44.49996222,238
FSU Pain,69.66497316,77
YUNG GRAVY SMURF,50.3062939,2
VERYBADENDING,58.54445973,5
Eclipse,59.98167144,151
Snubby,52.2906999,40
cop big bags,15.93496712,1
15pts4gryffindor,55.92357694,2
Lerky,35.72713541,2
Deka,62.57100111,3
KDA Testing,60.04357114,5
Nightblue3,47.25831772,205
Z3SIeeper,96.44565643,13
Asumdog,54.21090068,7
Gio Monster,45.72037627,188
tysonot,61.20350123,8
Chomdax,73.42354924,9
Spearr,59.69127306,8
Victør,38.91307999,16
StarPlayerSteven,48.11059747,1
quincho,43.15132499,16
Ponus,41.40393143,66
TwitchTv Lobex,147.927488,1
SandvichTF2,54.51817394,26
dumpa,48.27523636,30
2035,38.73177037,25
Shupian,59.08394075,93
gimoring,78.26703565,3
biblee,36.71450468,5
BeefTacos,67.08038945,13
Imaqtpie420,54.13177296,15
SpiritOfSteel,57.63352857,45
d2 monster,109.3385528,1
Infectrix1,47.92025228,13
Amayzing,67.5707657,30
Lóbo,73.58858525,25
Latence,49.62837529,371
100 Contractz,56.51529559,2
